Total Cost ($),H2 Cost ($),FC Switch Cost ($),Bat. Degrade ($),Final SoC (%),Compute Time (s),simulator
303.31469908651707,93.3293559439254,89.0,120.98534314259166,50.56908003405494,34.6482515335083,<src.simulator.HybridSimulator object at 0x0000023D80C8E720>
132.86568203614107,30.51764824358277,27.0,75.3480337925583,56.60932733698039,35.11551833152771,<src.simulator.HybridSimulator object at 0x0000023DF3E20B60>
302.31149793252064,109.68450933449225,104.0,88.62698859802836,53.59916100334419,31.91516399383545,<src.simulator.HybridSimulator object at 0x0000023DF4B99310>
328.62367400874933,126.48557413664608,94.0,108.13809987210325,52.186247846617064,35.0015332698822,<src.simulator.HybridSimulator object at 0x0000023D80C0CA70>
213.20494066483099,48.8698993508849,78.0,86.33504131394608,51.02533662428981,32.14303755760193,<src.simulator.HybridSimulator object at 0x0000023DF3E0ACF0>
361.96867713778397,168.47691725685334,88.0,105.49175988093069,53.022386347196736,35.01037788391113,<src.simulator.HybridSimulator object at 0x0000023DF4BFBD10>
207.97243726204823,35.62598095948755,83.0,89.34645630256068,51.22216053874829,41.76990461349487,<src.simulator.HybridSimulator object at 0x0000023D82675160>
228.3522312213988,47.714158359508694,64.0,116.6380728618901,53.84382857792679,45.359569787979126,<src.simulator.HybridSimulator object at 0x0000023D82674B60>
256.7501229982113,53.735113632395084,111.0,92.01500936581616,54.1457626848137,40.281805753707886,<src.simulator.HybridSimulator object at 0x0000023D82674E30>
241.0691366504543,55.42601587058457,83.0,102.64312077986975,52.77730113641539,35.32685375213623,<src.simulator.HybridSimulator object at 0x0000023D826744A0>
302.2688991907354,106.83131940802195,76.0,119.43757978271346,51.95788498843273,31.737942218780518,<src.simulator.HybridSimulator object at 0x0000023D82674C20>
