Total Cost ($),H2 Cost ($),FC Switch Cost ($),Bat. Degrade ($),Final SoC (%),Compute Time (s),simulator
416.98027622814334,120.34057697055528,181.0,115.63969925758806,50.37654319925906,65.38495135307312,<src.simulator.HybridSimulator object at 0x0000028DEDB64080>
211000000022586.8,85705.7922830847,4.0,210999999936877.03,-143.9043447267478,62.31590509414673,<src.simulator.HybridSimulator object at 0x0000028DEE720830>
206000000023878.75,85521.0493562843,4.0,205999999938353.7,-141.53085372500644,58.44066643714905,<src.simulator.HybridSimulator object at 0x0000028DEE7EDD90>
302.4460811100773,72.36550865745176,135.0,95.08057245262553,52.026083842168745,56.802475929260254,<src.simulator.HybridSimulator object at 0x0000028DE908BD70>
206000000024136.9,85771.45100810821,5.0,205999999938360.47,-143.54745107522518,62.69688439369202,<src.simulator.HybridSimulator object at 0x0000028DEDAC5EE0>
249.66578639017652,22.364653079457213,132.0,95.30113331071931,51.51708378413479,70.31611180305481,<src.simulator.HybridSimulator object at 0x0000028DEE73F440>
202000000025243.28,85683.33676722739,5.0,201999999939554.94,-154.54387724253692,63.05224418640137,<src.simulator.HybridSimulator object at 0x0000028DEDAF20F0>
283.12905139516613,29.909101780238064,155.0,98.21994961492808,51.405827320461015,58.170602798461914,<src.simulator.HybridSimulator object at 0x0000028DEDAF0DA0>
205000000024404.25,85648.26227050602,5.0,204999999938751.0,-128.25716170254833,72.10011625289917,<src.simulator.HybridSimulator object at 0x0000028DEDAF3680>
192000000028303.2,85685.35953589153,4.0,191999999942613.8,-129.38324811099554,71.60331296920776,<src.simulator.HybridSimulator object at 0x0000028DEDAF3950>
217.31219480378965,5.482428558552982,114.0,97.82976624523667,53.81837776320386,70.3251600265503,<src.simulator.HybridSimulator object at 0x0000028DEE7B1610>
