delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s]
120.0,325.0,5.0,2.0,7.384615384615385,0.8258064516129032,6132.717612333777,2.9680375454561063
300.0,130.0,8.0,4.0,5.769230769230769,0.4180645161290322,4633.62464408196,3.0024076818160457
300.0,175.0,11.0,3.0,4.155844155844156,0.6795698924731183,4161.410358589616,2.781629990911989
1728.0,80.0,8.0,1.0,37.5,3.65761316872428,6764.5558089362985,3.332873163635006
576.0,90.0,10.0,4.0,6.666666666666667,0.7120669056152927,4266.113287993384,4.847187300004986
450.0,130.0,11.0,3.0,5.594405594405594,2.277658303464756,4036.3737705571,3.5231443636360136
576.0,110.0,17.0,4.0,3.2085561497326203,2.7095181202708085,4285.032788718101,4.827736209089793
2880.0,45.0,30.0,4.0,4.444444444444445,1.2473118279569892,6473.725529273996,4.986476863635207
3200.0,35.0,22.0,4.0,7.792207792207792,2.5341935483870968,6740.361666865926,5.225193063635908
150.0,410.0,5.0,1.0,11.707317073170731,1.8200238948626049,5293.906077622766,5.727008154543
270.0,270.0,5.0,1.0,17.77777777777778,1.0593389088012746,4357.767152913233,6.211884609086238
1440.0,70.0,28.0,4.0,3.061224489795918,4.565448028673835,4408.044219946725,4.602131763638516
3200.0,25.0,8.0,4.0,30.0,3.965132616487456,6780.418709386571,5.221233527273977
432.0,160.0,10.0,2.0,7.5,3.655913978494624,4397.000924428543,4.634271872728608
120.0,205.0,5.0,4.0,5.853658536585366,4.720669056152927,5030.10271217273,2.823662200002053
288.0,150.0,4.0,2.0,20.0,3.3134209478295498,4132.810617546991,3.132765945451948
384.0,155.0,7.0,2.0,11.059907834101384,0.7267025089605735,4119.430822224848,2.926643490907736
2700.0,75.0,15.0,1.0,21.33333333333333,3.6023894862604537,9150.2238935125,4.341083800002128
108.0,185.0,3.0,4.0,10.81081081081081,0.0908004778972521,4210.636166574513,3.457423618182392
1920.0,75.0,23.0,2.0,6.956521739130435,2.690215053763441,5868.6526484567685,3.417507872731552
600.0,125.0,9.0,2.0,10.666666666666666,2.8851612903225807,4124.420211699909,3.2816379363635364
2700.0,95.0,20.0,1.0,12.63157894736842,4.87168458781362,9228.379901101378,3.864012363637977
96.0,340.0,7.0,3.0,3.361344537815126,4.322580645161291,4124.981444309728,3.503880718184518
1350.0,55.0,9.0,3.0,16.161616161616163,2.7096774193548385,4440.242628845995,3.5066141909073023
2400.0,60.0,19.0,2.0,10.526315789473683,3.68321146953405,6590.215178007268,4.318200863635866
80.0,380.0,6.0,3.0,3.508771929824561,1.2473118279569892,4465.903863115492,4.9814391000016425
600.0,165.0,6.0,1.0,24.24242424242424,1.3289749103942654,4651.711254213754,5.95766333635997
960.0,160.0,14.0,1.0,10.714285714285714,4.533715651135006,4634.416768279521,5.496383272727888
128.0,465.0,4.0,1.0,12.903225806451612,1.632974910394265,4118.711849841045,6.096295300003311
450.0,140.0,7.0,2.0,12.244897959183673,3.991690959776981,4250.91518308406,5.471278372726044
540.0,60.0,2.0,3.0,66.66666666666667,1.7309438470728793,4293.734996622574,4.287629354545391
225.0,175.0,10.0,4.0,3.4285714285714284,2.4,4327.488999536495,3.449777845452032
480.0,165.0,13.0,2.0,5.594405594405594,0.406594982078853,4578.692700867655,3.586630445455244
200.0,235.0,6.0,2.0,8.51063829787234,1.0456774193548388,4388.19312347742,3.778903954544644
720.0,80.0,12.0,4.0,6.25,4.485925925925926,4211.03476105873,3.7992388636339456
120.0,395.0,7.0,2.0,4.33996383363472,3.4846356033452803,4269.116128144625,2.7089116999982665
900.0,90.0,23.0,4.0,2.898550724637681,1.570931103146157,4359.180005786559,2.408863663635037
400.0,175.0,11.0,2.0,6.233766233766234,1.3419354838709678,4182.1703583258095,2.8944259272684576
360.0,155.0,2.0,1.0,77.41935483870968,1.5383831142970927,4585.019146924519,3.4651412636369723
80.0,315.0,4.0,3.0,6.349206349206349,2.3483870967741938,4460.579845509271,3.4345091818196867
108.0,325.0,4.0,2.0,9.23076923076923,0.4444444444444444,4148.718100134992,3.43036930000182
1350.0,80.0,23.0,3.0,4.3478260869565215,1.9496296296296296,4431.202951608047,3.767155899999621
640.0,140.0,13.0,2.0,6.593406593406593,0.703405017921147,4003.542202816425,2.9628931272706143
3200.0,20.0,4.0,4.0,75.0,3.741247311827957,6833.055261135428,3.906874663635708
120.0,295.0,4.0,2.0,10.169491525423728,0.4444444444444444,4337.469151922949,3.4652696363575
75.0,350.0,5.0,3.0,4.571428571428571,0.3201911589008363,4182.984882888223,3.2454703454555287
1728.0,105.0,16.0,1.0,14.285714285714286,4.242134607726006,9448.00631520938,3.311349945452424
2700.0,50.0,13.0,2.0,18.46153846153846,2.285304659498208,6663.098489051582,3.6625523999986895
640.0,115.0,15.0,3.0,4.63768115942029,2.419354838709677,4244.326810659929,3.0366552363689565
135.0,195.0,5.0,4.0,6.153846153846154,3.385530333200584,4386.365911910298,3.469094581817361
150.0,260.0,8.0,3.0,3.8461538461538463,3.710967741935484,5607.824286826472,2.927015254547851
300.0,160.0,13.0,4.0,2.8846153846153846,0.9612616487455196,4195.225729556463,2.947097345463011
2880.0,45.0,11.0,2.0,24.24242424242424,1.0935483870967742,6115.5069794673855,3.050772500000841
360.0,140.0,13.0,4.0,3.2967032967032965,1.7982317801672638,4302.831856171073,2.671697090907732
600.0,140.0,12.0,2.0,7.142857142857143,1.639111111111111,4361.064334313433,4.429846745451372
675.0,65.0,2.0,2.0,92.3076923076923,2.1485198460108856,4337.962730451451,5.127779818182304
640.0,85.0,11.0,4.0,6.4171122994652405,0.2193548387096774,4504.213004018645,3.3374742454589894
96.0,310.0,3.0,2.0,12.903225806451612,1.4129032258064516,4168.939915528412,4.972604590905989
300.0,145.0,7.0,3.0,7.881773399014778,1.2473118279569892,4119.090211375414,4.23761050909128
3456.0,50.0,6.0,1.0,80.0,4.28510553564317,7316.817774938844,3.054166754548946
720.0,105.0,8.0,2.0,14.285714285714286,0.4444444444444444,4151.337296302111,3.945626172722603
300.0,250.0,5.0,1.0,19.2,0.0487455197132616,4205.556600252296,3.92432203636219
320.0,120.0,7.0,4.0,7.142857142857143,3.4331182795698925,4061.242661064132,3.253479099996515
384.0,150.0,12.0,3.0,4.444444444444445,0.7204301075268817,4217.349893916468,4.908809245456888
384.0,180.0,10.0,2.0,6.666666666666667,4.973118279569892,4231.0642085789,3.438933927269483
800.0,95.0,14.0,3.0,6.015037593984962,4.864516129032258,4137.764007133295,3.442223836364892
640.0,85.0,4.0,2.0,35.294117647058826,2.395698924731183,4466.876584328312,4.924180663629985
135.0,390.0,3.0,1.0,20.512820512820515,4.651087216248507,4220.764729684214,4.7967660818182845
1920.0,115.0,21.0,1.0,9.937888198757763,3.846594982078853,8196.831698585185,3.3299988090915247
225.0,225.0,7.0,2.0,7.619047619047619,3.0650035842293906,4398.898098852848,4.341922790906128
1080.0,95.0,22.0,3.0,3.827751196172249,4.934767025089606,4355.421696394897,2.3941153090947243
160.0,320.0,8.0,2.0,4.6875,2.8851612903225807,5054.578181203546,4.203876481818787
120.0,260.0,3.0,2.0,15.384615384615383,2.0043010752688173,4236.61907251074,3.694623254545149
108.0,340.0,5.0,2.0,7.0588235294117645,4.774193548387097,8188.975066146092,4.365419872725562
1800.0,80.0,26.0,2.0,5.769230769230769,4.688197530864198,4738.366339867036,4.981419381821814
128.0,425.0,4.0,1.0,14.117647058823527,1.632974910394265,5513.027497141148,3.316746845457766
384.0,275.0,9.0,1.0,9.696969696969695,3.129032258064516,4190.001957796039,3.033884472724325
1080.0,85.0,11.0,2.0,12.83422459893048,0.3851851851851852,5219.845264965359,3.8545458272737134
225.0,335.0,6.0,1.0,11.940298507462687,4.134193548387096,4149.374437074956,3.4087252999994564
100.0,230.0,3.0,3.0,11.594202898550725,2.854193548387097,4596.893694093363,3.091886299999632
864.0,55.0,6.0,4.0,18.181818181818183,4.200716845878136,4230.988366537523,3.383349745457632
450.0,145.0,14.0,3.0,3.940886699507389,2.820931899641577,4083.489065131386,3.453434163633078
180.0,235.0,9.0,3.0,3.7825059101654848,1.5053763440860215,5257.757657668041,3.030833990912387
60.0,455.0,3.0,2.0,8.791208791208792,1.367741935483871,4830.301954052464,3.553307990909988
128.0,280.0,4.0,2.0,10.714285714285714,4.222222222222222,4156.510920852185,4.09523412727735
64.0,445.0,6.0,3.0,2.9962546816479403,0.2580645161290322,5021.738973783849,5.105996545457112
160.0,180.0,2.0,2.0,33.333333333333336,3.6,4360.652858946417,6.159498127273929
480.0,85.0,6.0,4.0,11.764705882352942,1.5225806451612902,4187.862247450557,3.5915616090920097
1800.0,40.0,10.0,4.0,15.0,0.1844683393070489,4945.166326110003,2.7491814000029327
144.0,180.0,3.0,3.0,14.814814814814817,0.07168458781362,4152.043774692137,3.31765456365776
864.0,100.0,11.0,2.0,10.909090909090908,4.976768883578919,4195.454079426101,3.8180219090916734
2160.0,90.0,16.0,1.0,16.666666666666668,1.43485994955529,7912.902747788879,3.434341800000931
640.0,120.0,17.0,3.0,3.92156862745098,2.685483870967742,4016.5182766673215,3.164285518184029
240.0,140.0,6.0,4.0,7.142857142857143,0.6795698924731183,4057.0942287097887,4.944607854546947
