delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s]
60.0,475.0,4.0,4.0,3.1578947368421053,0.7170360229314623,4638.420672155973,1.3660264181817183
60.0,470.0,4.0,4.0,3.1914893617021276,4.649610678531702,4355.199115875664,2.6920466090933504
60.0,465.0,4.0,4.0,3.225806451612903,4.649610678531702,4451.23986955018,1.7628092818195
60.0,460.0,4.0,4.0,3.260869565217391,4.649610678531702,4399.75075527668,1.377549863632091
60.0,455.0,4.0,4.0,3.2967032967032965,4.649610678531702,4423.125982629502,1.3514387090941786
60.0,495.0,3.0,3.0,5.3872053872053876,5.972448019166595,4324.246667105764,1.4041505545425357
60.0,490.0,3.0,3.0,5.442176870748299,5.972448019166595,4342.516836841365,1.290174772732743
60.0,485.0,3.0,3.0,5.498281786941581,5.972448019166595,6140.594522230019,1.426112354543875
60.0,480.0,3.0,3.0,5.555555555555555,5.972448019166595,4765.360179465976,2.299368536365695
60.0,475.0,3.0,3.0,5.614035087719298,9.698810644305638,6918.33583352816,2.6217902545415033
60.0,340.0,2.0,4.0,8.823529411764707,2.0450072730384186,4431.6722361529455,2.4200893000009027
60.0,335.0,2.0,4.0,8.955223880597014,2.0450072730384186,4859.230966573988,2.3931608999978793
60.0,500.0,2.0,2.0,12.0,1.6034910584410027,5014.427323809855,1.6883089727237925
120.0,325.0,6.0,4.0,3.076923076923077,5.18695986994096,6797.228667174851,1.1286029454534978
120.0,320.0,6.0,4.0,3.125,1.836228287841191,4132.382153904344,1.9364396363631717
120.0,310.0,6.0,4.0,3.225806451612903,1.836228287841191,4929.0201706224,1.7256590454516383
120.0,305.0,6.0,4.0,3.278688524590164,1.836228287841191,5470.9125979938235,1.7063890454539268
120.0,300.0,6.0,4.0,3.3333333333333335,8.859416445623342,4126.330082948904,2.049846054548239
120.0,355.0,6.0,3.0,3.755868544600939,5.2451441772910075,4316.688425412682,1.8381642090931896
120.0,350.0,6.0,3.0,3.8095238095238093,5.2451441772910075,8465.337464258806,2.908439827269335
120.0,295.0,5.0,4.0,4.067796610169491,1.8567639257294428,4950.077111453422,1.9421519727290038
120.0,290.0,5.0,4.0,4.137931034482759,1.8567639257294428,4489.522497529396,2.2859304636407285
120.0,345.0,5.0,3.0,4.63768115942029,7.5896295028664325,4044.9396300122403,2.2362072272755373
120.0,340.0,5.0,3.0,4.705882352941177,3.9616668092752634,4075.40977092711,2.500649181819013
120.0,450.0,5.0,2.0,5.333333333333333,3.4546932489090443,4183.651699437415,2.5369554727261527
120.0,280.0,4.0,4.0,5.357142857142857,9.643193291691624,4229.909823182416,1.1618880454559324
120.0,440.0,5.0,2.0,5.454545454545454,3.4546932489090443,4796.446798103506,2.5953744999979707
120.0,435.0,5.0,2.0,5.517241379310345,3.4546932489090443,4848.577715271238,2.621907490914137
120.0,430.0,5.0,2.0,5.5813953488372094,3.4546932489090443,4994.276792455254,2.6324972545407945
120.0,425.0,5.0,2.0,5.647058823529412,3.4546932489090443,4966.916023231518,2.602993227268929
120.0,265.0,4.0,4.0,5.660377358490566,0.6075126208607855,5822.588500980632,2.3690175545436265
120.0,420.0,5.0,2.0,5.714285714285714,3.4546932489090443,5234.637985173484,2.0108015363644385
120.0,415.0,5.0,2.0,5.783132530120482,3.4546932489090443,5223.78590919857,1.5733624272754902
120.0,410.0,5.0,2.0,5.853658536585366,3.4546932489090443,5160.099773015939,2.270563999999219
120.0,255.0,4.0,4.0,5.882352941176471,5.41627449302644,4880.523164814844,2.4491228454545224
120.0,325.0,4.0,3.0,6.153846153846154,8.513733207837769,5130.707201816885,2.202567254542373
120.0,315.0,4.0,3.0,6.349206349206349,1.7369727047146404,4162.983091550682,2.415140818181416
120.0,310.0,4.0,3.0,6.451612903225806,1.7369727047146404,4445.648152745352,2.4033773636381905
120.0,305.0,4.0,3.0,6.557377049180328,1.7369727047146404,4611.718146457293,2.450345145448492
120.0,235.0,3.0,4.0,8.51063829787234,3.3147942157953283,4079.3124516421244,2.5470443636361533
120.0,230.0,3.0,4.0,8.695652173913043,3.3147942157953283,4398.3564635849725,2.4846451363608306
120.0,225.0,3.0,4.0,8.88888888888889,8.61298879096432,4185.691787143391,2.546491136366967
120.0,280.0,3.0,3.0,9.523809523809524,1.6514075468469238,4190.249610630671,2.4478964636337794
120.0,275.0,3.0,3.0,9.696969696969697,1.6514075468469238,4273.319849415636,2.5313757454568986
120.0,270.0,3.0,3.0,9.876543209876543,1.6514075468469238,4275.205883677863,2.3337479818199593
120.0,370.0,3.0,2.0,10.81081081081081,6.562847608453838,4198.451644316265,2.316574263636457
120.0,365.0,3.0,2.0,10.95890410958904,6.562847608453838,4330.261657378179,1.791586436361699
120.0,360.0,3.0,2.0,11.11111111111111,6.562847608453838,4241.286902469846,1.2592532454555938
120.0,350.0,3.0,2.0,11.428571428571429,6.562847608453838,9069.97839819349,1.4803773000008236
120.0,345.0,3.0,2.0,11.594202898550725,0.9121245828698554,4135.745313715607,1.7009004909076877
120.0,200.0,2.0,4.0,15.0,7.897664071190211,5211.53912960002,1.7526941727264784
120.0,240.0,2.0,3.0,16.666666666666668,9.454949944382648,4804.826505348065,1.5806055545492035
120.0,235.0,2.0,3.0,17.02127659574468,4.115684093437152,4140.656603727816,1.96814165454469
120.0,230.0,2.0,3.0,17.391304347826086,4.115684093437152,4656.4443074655255,1.8899468454500576
120.0,320.0,2.0,2.0,18.75,9.330024813895783,4210.265190871262,1.590187581819588
120.0,315.0,2.0,2.0,19.047619047619047,9.330024813895783,4581.540144312667,1.2861901272725929
120.0,305.0,2.0,2.0,19.672131147540984,9.330024813895783,4532.31335330045,1.3676109818162248
120.0,300.0,2.0,2.0,20.0,3.076923076923077,4345.008984814745,1.5288277909117327
120.0,295.0,2.0,2.0,20.338983050847457,7.6923076923076925,4292.225317954472,1.515000999999095
