delta_t,delta_P,N_d,delta_n,Ratio,Variance (%),Total Cost [$],Offline Compute [s],Norm_Cost_Penalty (%)
60.0,215.0,8.0,12.0,1.1627906976744187,0.9949820788530467,5203.633885999769,4.5420158454544435,27.341539683543036
60.0,265.0,7.0,6.0,2.1563342318059298,0.5912544802867383,6808.634006357707,6.8988240545444235,66.61855090228751
60.0,170.0,5.0,12.0,2.3529411764705883,0.4444444444444444,4817.793899498754,7.647950599999604,17.899396168275985
60.0,395.0,7.0,3.0,2.8933092224231465,1.1612903225806452,4488.761476479052,8.13928582727286,9.847427818645329
60.0,475.0,6.0,2.0,4.2105263157894735,0.1875268817204301,7129.629587777538,8.893965336363841,74.4738444269898
60.0,200.0,4.0,6.0,5.0,0.40659498207885303,4210.388328834984,5.315374027272893,3.0351758416330776
60.0,405.0,5.0,2.0,5.925925925925926,0.946236559139785,5230.550618770973,10.872124345453896,28.000236715161194
60.0,400.0,5.0,2.0,6.0,0.946236559139785,5686.898621637707,10.104893354545228,39.167828169454054
60.0,155.0,2.0,6.0,12.903225806451612,0.3767741935483871,4530.579793094537,10.166120418182716,10.870791287608254
60.0,190.0,2.0,4.0,15.789473684210526,1.6965352449223419,4615.688606498563,10.988688209089476,12.953544912659973
180.0,110.0,12.0,12.0,1.5151515151515151,0.5954599761051375,4435.586890630601,4.694649690909004,8.54615763278645
180.0,150.0,13.0,6.0,2.051282051282051,0.4612664277180406,4162.45914776491,4.462457927272308,1.8622693983770402
180.0,170.0,11.0,4.0,3.2085561497326203,1.0867383512544804,4597.582154772189,4.769603109091391,12.510450050193642
180.0,160.0,10.0,4.0,3.75,0.4138590203106332,4356.3491666155,6.436361872727006,6.60707928904473
180.0,115.0,7.0,6.0,4.968944099378882,0.14470728793309437,4248.910867234668,6.41370405454522,3.97788615903883
180.0,70.0,4.0,12.0,7.142857142857143,0.16917562724014337,4460.569162325755,6.767790372726515,9.157515197931962
180.0,335.0,8.0,1.0,8.955223880597014,0.3767741935483871,8705.406454377378,7.729234590908825,113.03571422540273
180.0,300.0,6.0,1.0,13.333333333333334,3.329032258064516,4107.212982503289,8.678546036363763,0.5103042332346318
180.0,260.0,4.0,1.0,23.076923076923077,1.4337554759060134,4249.78343561835,8.402149572727383,3.9992393525746373
180.0,150.0,3.0,2.0,26.666666666666668,0.727741935483871,4086.360113857065,7.6798747818181505,0.0
600.0,85.0,27.0,6.0,1.7429193899782136,0.5006451612903225,4216.670924237332,6.043272136362661,3.188921356646372
600.0,80.0,24.0,6.0,2.0833333333333335,0.096,4343.191454681568,7.938751000000841,6.285088285625497
600.0,110.0,22.0,3.0,3.3057851239669422,0.3052807646356034,4219.8235849329,9.636993727271726,3.2660721854457653
600.0,100.0,18.0,3.0,4.444444444444445,0.5161290322580645,4133.553941147221,10.469733645454902,1.1549111183353462
600.0,60.0,12.0,6.0,5.555555555555555,2.336,4426.354153289078,7.661044763636297,8.320217258363376
600.0,70.0,11.0,4.0,7.792207792207792,0.8344086021505376,4342.9084404191235,6.398582754545549,6.278162457882496
600.0,35.0,6.0,12.0,9.523809523809524,1.5466666666666666,4502.032925848945,5.06875652727335,10.172202165499588
600.0,60.0,7.0,4.0,14.285714285714286,0.0035555555555555553,4268.549380233375,6.582498109091168,4.458473098308115
600.0,40.0,4.0,6.0,25.0,1.1406451612903226,4951.577103483791,6.6011576181822,21.17329274756596
600.0,45.0,2.0,3.0,88.88888888888889,0.006690561529271207,4728.407485095875,7.1366260727276805,15.711962562026615
