Sample time,AE_POWER(kW),DG_1_POWER(GByte),DG_2_POWER(GByte),DG_3_POWER(GByte),GE162(kW),GE163(A),GE164,GE262(kW),GE263(A),GE264,GE362(kW),GE363(A),GE364,HEADING(degree),LAT-DEG(degree),LAT-MIN(min),LAT-NS,LONG-DEG(degree),LONG-EW,LONG-MIN(min),SHIP SPEED(knots),Unnamed: 22,LATITUDE(DD),LONGITUDE(DD)
2026-01-23 00:05:00,1063.70202,285,334.0,86.0,530.69684,786.66441,0.86837,531.03881,815.40493,0.83741,0.0,0.0,0.0,283.91589,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:10:00,1066.96198,285,334.0,86.0,532.25894,785.34427,0.87185,535.95759,822.91995,0.83787,0.0,0.0,0.0,284.0,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:15:00,1078.35213,285,334.0,86.0,536.47449,798.922,0.86419,543.29324,822.23765,0.85347,0.0,0.0,0.0,284.0,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:20:00,1064.49662,285,334.0,86.0,532.20012,800.28096,0.85855,531.27447,802.14035,0.85271,0.0,0.0,0.0,284.0,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:25:00,1065.96666,285,334.0,86.0,535.37408,793.71678,0.86522,527.63153,804.11829,0.84481,0.0,0.0,0.0,284.00638,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:30:00,1062.10817,285,334.0,86.0,531.78828,790.54928,0.86637,531.76296,811.8103,0.84045,0.0,0.0,0.0,284.1,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:35:00,1066.94962,285,334.0,86.0,537.96084,796.79877,0.86882,541.74103,822.96477,0.84601,0.0,0.0,0.0,284.1,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:40:00,1082.11978,285,334.0,86.0,536.7999,795.77673,0.86782,543.92093,823.86448,0.84939,0.0,0.0,0.0,284.1,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:45:00,1076.40212,285,334.0,86.0,533.84374,800.57883,0.85833,540.42651,814.45703,0.85337,0.0,0.0,0.0,284.1,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:50:00,1035.03623,285,334.0,86.0,513.45513,774.54923,0.85196,516.75858,783.3197,0.85005,0.0,0.0,0.0,284.03813,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 00:55:00,957.15085,285,334.0,86.0,479.0136,727.53333,0.8478,484.1277,741.65395,0.83799,0.0,0.0,0.0,283.99328,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:00:00,1051.92194,285,334.04568,86.0,526.24896,787.27825,0.86191,527.16885,802.33341,0.84308,0.0,0.0,0.0,283.9,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:05:00,1092.08699,285,335.0,86.0,549.81457,815.81284,0.86664,539.3751,820.45076,0.84488,0.0,0.0,0.0,283.9,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:10:00,1090.32564,285,335.0,86.0,544.65568,811.99959,0.86324,549.63419,833.91645,0.84458,0.0,0.0,0.0,283.9,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:15:00,1078.66249,285,335.0,86.0,536.18958,801.24353,0.86188,541.36558,821.34456,0.84695,0.0,0.0,0.0,283.8,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:20:00,1069.40072,285,335.0,86.0,537.13085,798.92934,0.86572,533.79266,807.3367,0.85009,0.0,0.0,0.0,283.8,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:25:00,1078.07865,285,335.0,86.0,530.90084,792.34288,0.86242,543.54022,820.92126,0.85097,0.0,0.0,0.0,283.7967,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:30:00,1068.7344,285,335.0,86.0,533.17351,794.70046,0.86413,531.59846,809.06832,0.84318,0.0,0.0,0.0,283.7,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
2026-01-23 01:35:00,1066.07622,285,335.0,86.0,525.23615,787.20406,0.85974,532.60789,806.68707,0.85093,0.0,0.0,0.0,283.7,57.0,24.0,78.0,21.0,69.0,32.0,0.0,idle,57.4,21.533333333333335
