Block_ID,Start_Time,End_Time,Duration_h,Mean_Speed_kn,Mean_Power_kW,Auto_Guessed_Mode,Human_Verified_Mode
1.0,2026-01-01 00:10:00,2026-01-05 01:20:00,97.17,0.04,476.2,port_idle_or_loading,
2.0,2026-01-05 01:25:00,2026-01-07 04:40:00,51.25,9.17,555.3,sea_transit,
3.0,2026-01-07 04:45:00,2026-01-07 21:20:00,16.58,0.11,426.1,port_idle_or_loading,
5.0,2026-01-07 21:45:00,2026-01-09 10:25:00,36.67,0.07,577.9,port_idle_or_loading,
9.0,2026-01-09 10:55:00,2026-01-09 14:20:00,3.42,0.2,487.9,port_idle_or_loading,
10.0,2026-01-09 14:25:00,2026-01-11 03:30:00,37.08,12.09,527.8,sea_transit,
11.0,2026-01-11 03:35:00,2026-01-11 05:50:00,2.25,0.71,394.6,port_idle_or_loading,
12.0,2026-01-11 05:55:00,2026-01-11 16:10:00,10.25,11.88,549.4,sea_transit,
13.0,2026-01-11 16:15:00,2026-01-11 18:00:00,1.75,0.62,439.1,port_idle_or_loading,
14.0,2026-01-11 18:05:00,2026-01-13 05:10:00,35.08,12.8,566.2,sea_transit,
15.0,2026-01-13 05:15:00,2026-01-14 06:20:00,25.08,0.01,834.1,port_unloading,
16.0,2026-01-14 06:25:00,2026-01-15 03:10:00,20.75,10.93,525.2,sea_transit,
17.0,2026-01-15 03:15:00,2026-01-16 14:50:00,35.58,0.07,424.2,port_idle_or_loading,
18.0,2026-01-16 14:55:00,2026-01-16 15:55:00,1.0,6.03,635.6,sea_transit,
19.0,2026-01-16 16:00:00,2026-01-18 01:30:00,33.5,0.0,732.8,port_idle_or_loading,
20.0,2026-01-18 01:35:00,2026-01-20 19:05:00,65.5,11.28,518.9,sea_transit,
21.0,2026-01-20 19:10:00,2026-01-28 09:30:00,182.33,0.07,444.7,port_idle_or_loading,
22.0,2026-01-28 09:35:00,2026-02-01 03:30:00,89.92,9.08,527.1,sea_transit,
23.0,2026-02-01 03:35:00,2026-02-03 11:45:00,56.17,0.24,429.1,port_idle_or_loading,
24.0,2026-02-03 11:50:00,2026-02-03 12:20:00,0.5,3.61,658.1,sea_loitering,
25.0,2026-02-03 12:25:00,2026-02-05 07:55:00,43.5,0.1,509.1,port_idle_or_loading,
26.0,2026-02-05 08:00:00,2026-02-08 02:30:00,66.5,12.35,622.9,sea_transit,
27.0,2026-02-08 02:35:00,2026-02-10 16:55:00,62.33,0.03,524.7,port_idle_or_loading,
28.0,2026-02-10 17:00:00,2026-02-10 17:50:00,0.83,5.31,618.7,sea_transit,
29.0,2026-02-10 17:55:00,2026-02-11 13:40:00,19.75,0.01,779.9,port_unloading,
30.0,2026-02-11 13:45:00,2026-02-11 14:40:00,0.92,5.38,625.0,sea_transit,
31.0,2026-02-11 14:45:00,2026-02-12 08:55:00,18.17,0.0,788.7,port_unloading,
32.0,2026-02-12 09:00:00,2026-02-12 10:00:00,1.0,7.67,628.5,sea_transit,
33.0,2026-02-12 10:05:00,2026-02-26 18:35:00,344.5,0.08,439.8,port_idle_or_loading,
34.0,2026-02-26 18:40:00,2026-02-26 19:20:00,0.67,5.89,600.2,sea_transit,
35.0,2026-02-26 19:25:00,2026-03-02 03:30:00,80.08,0.03,459.3,port_idle_or_loading,
36.0,2026-03-02 03:35:00,2026-03-03 13:10:00,33.58,13.86,635.7,sea_transit,
39.0,2026-03-03 14:05:00,2026-03-03 21:15:00,7.17,0.19,479.1,port_idle_or_loading,
40.0,2026-03-03 21:20:00,2026-03-03 22:05:00,0.75,2.79,608.9,sea_loitering,
41.0,2026-03-03 22:10:00,2026-03-05 11:20:00,37.17,0.14,534.1,port_idle_or_loading,
43.0,2026-03-05 11:55:00,2026-03-05 15:45:00,3.83,0.1,501.2,port_idle_or_loading,
44.0,2026-03-05 15:50:00,2026-03-08 12:50:00,69.0,12.02,537.3,sea_transit,
45.0,2026-03-08 12:55:00,2026-03-08 15:40:00,2.75,0.79,492.0,port_idle_or_loading,
48.0,2026-03-08 15:55:00,2026-03-08 16:50:00,0.92,3.84,529.2,sea_loitering,
49.0,2026-03-08 16:55:00,2026-03-09 04:30:00,11.58,0.57,458.8,port_idle_or_loading,
50.0,2026-03-09 04:35:00,2026-03-09 06:25:00,1.83,7.54,585.7,sea_transit,
51.0,2026-03-09 06:30:00,2026-03-11 07:40:00,49.17,0.17,463.7,port_idle_or_loading,
52.0,2026-03-11 07:45:00,2026-03-11 09:00:00,1.25,4.19,642.1,sea_loitering,
53.0,2026-03-11 09:05:00,2026-03-14 01:50:00,64.75,0.0,580.5,port_idle_or_loading,
54.0,2026-03-14 01:55:00,2026-03-14 02:55:00,1.0,5.48,629.8,sea_transit,
55.0,2026-03-14 03:00:00,2026-03-21 01:15:00,166.25,0.23,455.4,port_idle_or_loading,
56.0,2026-03-21 01:20:00,2026-03-21 02:30:00,1.17,4.46,655.4,sea_loitering,
57.0,2026-03-21 02:35:00,2026-03-25 04:30:00,97.92,0.0,705.7,port_idle_or_loading,
58.0,2026-03-25 04:35:00,2026-03-27 23:05:00,66.5,10.97,523.2,sea_transit,
59.0,2026-03-27 23:10:00,2026-04-19 20:30:00,549.33,0.06,439.0,port_idle_or_loading,
60.0,2026-04-19 20:35:00,2026-04-19 21:10:00,0.58,2.2,598.1,sea_loitering,
61.0,2026-04-19 21:15:00,2026-04-19 21:50:00,0.58,0.15,609.3,port_idle_or_loading,
63.0,2026-04-19 22:25:00,2026-04-20 15:05:00,16.67,0.06,466.7,port_idle_or_loading,
65.0,2026-04-20 15:40:00,2026-04-22 18:20:00,50.67,0.04,507.2,port_idle_or_loading,
66.0,2026-04-22 18:25:00,2026-04-26 00:30:00,78.08,11.63,713.3,sea_transit,
67.0,2026-04-26 00:35:00,2026-04-26 15:15:00,14.67,0.35,550.3,port_idle_or_loading,
68.0,2026-04-26 15:20:00,2026-04-26 16:25:00,1.08,2.89,695.8,sea_loitering,
71.0,2026-04-26 16:40:00,2026-04-27 13:30:00,20.83,0.06,926.5,port_unloading,
72.0,2026-04-27 13:35:00,2026-04-27 14:20:00,0.75,3.39,694.6,sea_loitering,
73.0,2026-04-27 14:25:00,2026-04-29 01:50:00,35.42,0.32,485.3,port_idle_or_loading,
74.0,2026-04-29 01:55:00,2026-04-29 02:30:00,0.58,3.41,679.8,sea_loitering,
75.0,2026-04-29 02:35:00,2026-04-29 04:00:00,1.42,0.62,631.5,port_idle_or_loading,
76.0,2026-04-29 04:05:00,2026-04-29 05:00:00,0.92,3.17,685.4,sea_loitering,
77.0,2026-04-29 05:05:00,2026-04-30 06:25:00,25.33,0.01,918.1,port_unloading,
