Block_ID,Start_Time,End_Time,Duration_h,Mean_Speed_kn,Mean_Power_kW,Auto_Guessed_Mode,Human_Verified_Mode
1.0,2025-12-22 00:10:00,2025-12-22 10:50:00,10.67,0.0,820.7,port_unloading,
2.0,2025-12-22 10:55:00,2025-12-23 14:55:00,28.0,12.3,428.0,sea_transit,
3.0,2025-12-23 15:00:00,2025-12-24 08:10:00,17.17,0.39,372.8,port_idle_or_loading,
4.0,2025-12-24 08:15:00,2025-12-25 05:40:00,21.42,3.39,411.9,sea_loitering,
6.0,2025-12-25 05:50:00,2025-12-25 10:00:00,4.17,2.94,418.5,sea_loitering,
8.0,2025-12-25 10:10:00,2025-12-25 18:20:00,8.17,3.17,395.0,sea_loitering,
10.0,2025-12-25 18:35:00,2025-12-26 03:45:00,9.17,2.73,432.8,sea_loitering,
12.0,2025-12-26 03:55:00,2025-12-26 04:35:00,0.67,3.74,447.9,sea_loitering,
13.0,2025-12-26 04:40:00,2025-12-26 05:30:00,0.83,0.37,440.2,port_idle_or_loading,
14.0,2025-12-26 05:35:00,2025-12-26 12:30:00,6.92,7.02,466.0,sea_transit,
15.0,2025-12-26 12:35:00,2025-12-27 21:10:00,32.58,0.0,463.3,port_idle_or_loading,
16.0,2025-12-27 21:15:00,2025-12-30 09:25:00,60.17,10.16,490.1,sea_transit,
17.0,2025-12-30 09:30:00,2025-12-31 19:15:00,33.75,0.0,1058.7,port_unloading,
18.0,2025-12-31 19:20:00,2026-01-01 00:00:00,4.67,10.11,464.8,sea_transit,
