Block_ID,Start_Time,End_Time,Duration_h,Mean_Speed_kn,Mean_Power_kW,Auto_Guessed_Mode,Human_Verified_Mode
1.0,2026-01-02 00:05:00,2026-01-23 16:20:00,520.25,0.0,938.3,port_unloading,
2.0,2026-01-23 16:25:00,2026-01-24 13:05:00,20.67,12.52,561.6,sea_transit,
3.0,2026-01-24 13:10:00,2026-01-26 02:45:00,37.58,0.0,499.4,port_idle_or_loading,
4.0,2026-01-26 02:50:00,2026-01-30 14:10:00,107.33,12.46,478.2,sea_transit,
6.0,2026-01-30 14:20:00,2026-01-30 15:10:00,0.83,2.37,605.0,sea_loitering,
11.0,2026-01-30 16:00:00,2026-01-30 16:40:00,0.67,0.84,458.1,port_idle_or_loading,
14.0,2026-01-30 17:10:00,2026-01-30 19:10:00,2.0,1.62,458.5,sea_loitering,
16.0,2026-01-30 19:20:00,2026-01-31 00:45:00,5.42,4.3,450.5,sea_loitering,
20.0,2026-01-31 01:10:00,2026-01-31 04:10:00,3.0,7.86,480.0,sea_transit,
21.0,2026-01-31 04:15:00,2026-02-02 05:50:00,49.58,0.01,807.5,port_unloading,
22.0,2026-02-02 05:55:00,2026-02-02 17:00:00,11.08,4.45,494.8,sea_loitering,
24.0,2026-02-02 17:15:00,2026-02-02 18:05:00,0.83,1.33,403.0,sea_loitering,
26.0,2026-02-02 18:15:00,2026-03-02 00:00:00,653.75,2.34,402.4,sea_loitering,
